"aisle","total_purchases","total_reorders","reorder_probability"
"frozen appetizers sides","194582","102264","0.5255573485728382"
"tofu meat alternatives","129474","78691","0.6077745338832506"
"trash bags liners","32081","10771","0.3357438982575356"
"indian foods","15901","6397","0.4023017420288032"
"granola","101959","61085","0.5991133690993439"
"marinades meat preparation","62510","17542","0.28062709966405375"
"digestion","26873","11987","0.4460611022215607"
"bakery desserts","33758","17062","0.5054209372593164"
"hot dogs bacon sausage","305655","170005","0.556198982512964"
"frozen meals","390299","217262","0.5566552822323398"
"packaged poultry","118437","70971","0.599229970363991"
"beers coolers","48657","27506","0.5653040672462338"
"trail mix snack mix","35590","22074","0.620230401798258"
"shave needs","10344","2712","0.26218097447795824"
"deodorants","14815","3509","0.23685453931825853"
"kosher foods","11798","4731","0.4010001695202577"
"bread","584834","391937","0.6701679450921116"
"crackers","458838","261145","0.5691442295537859"
"lunch meat","395130","239653","0.6065168425581454"
"baking ingredients","325014","99036","0.30471302774649706"
"refrigerated","575881","381983","0.6633019668994116"
"vitamins supplements","45059","14036","0.31150269646463524"
"honeys syrups nectars","66926","24030","0.3590532827301796"
"doughs gelatins bake mixes","106089","41669","0.3927739916485215"
"coffee","207075","128330","0.6197271519980684"
"more household","17285","4358","0.25212612091408737"
"dish detergents","94927","37322","0.39316527436872545"
"breakfast bars pastries","71860","42103","0.5859031450041747"
"missing","69048","27339","0.39594195342370525"
"oral hygiene","63749","20486","0.3213540604558503"
"asian foods","166607","58501","0.35113170515044384"
"frozen dessert","19285","8121","0.4211044853513093"
"other","36186","14775","0.4083070800862212"
"white wines","30558","19254","0.630080502650697"
"diapers wipes","24605","12587","0.511562690510059"
"muscles joints pain relief","18683","6410","0.3430926510731681"
"preserved dips spreads","108691","50987","0.46910047750043704"
"cleaning products","118477","34185","0.28853701562328554"
"food storage","63193","16322","0.2582881015302328"
"body lotions soap","40768","13428","0.3293759811616955"
"frozen breakfast","232763","145761","0.6262206622186516"
"canned meat seafood","67046","32014","0.4774930644632044"
